CoralID,Tank,Treatment,Donor.Frag
Exp3_C61_GB26,61,Control,C
Exp3_C61_GB8,61,Control,C
Exp3_C61_M27,61,Control,C
Exp3_C61_M32,61,Control,C
Exp3_C62_F1-A,62,Control,C
Exp3_C62_GB9,62,Control,C
Exp3_C62_M14,62,Control,C
Exp3_C62_M29,62,Control,C
Exp3_C62_OF331,62,Control,C
Exp3_C63_15-111,63,Control,A
Exp3_C63_GB10,63,Control,A
Exp3_C63_M18,63,Control,A
Exp3_C63_OF11,63,Control,A
Exp3_C63_OF125,63,Control,A
Exp3_C64_GB11,64,Control,C
Exp3_C64_GB16,64,Control,C
Exp3_C64_M15,64,Control,C
Exp3_C64_OF1,64,Control,C
Exp3_C64_OF96,64,Control,C
Exp3_C65_F32,65,Control,C
Exp3_C65_GB12,65,Control,C
Exp3_C65_GB17,65,Control,C
Exp3_C65_M19,65,Control,C
Exp3_C65_M28,65,Control,C
Exp3_C66_M26,66,Control,A
Exp3_C66_M8,66,Control,A
Exp3_C66_OF100,66,Control,A
Exp3_C66_OF654,66,Control,A
Exp3_C66_OF662,66,Control,A
Exp3_C67_GB18,67,Control,C
Exp3_C67_M4,67,Control,C
Exp3_C67_OF132,67,Control,C
Exp3_C67_OF354,67,Control,C
Exp3_C68_GB19,68,Control,C
Exp3_C68_M16,68,Control,C
Exp3_C68_OF656,68,Control,C
Exp3_C68_OF97,68,Control,C
Exp3_C69_GB20,69,Control,A
Exp3_C69_GB24,69,Control,A
Exp3_C69_M12,69,Control,A
Exp3_C69_M33,69,Control,A
Exp3_C69_OF512,69,Control,A
Exp3_C70_F61,70,Control,C
Exp3_C70_GB14,70,Control,C
Exp3_C70_GB21,70,Control,C
Exp3_C70_M17,70,Control,C
Exp3_C70_M20,70,Control,C
Exp4_C51_15-431,51,Control,A
Exp4_C51_M35,51,Control,A
Exp4_C51_M4,51,Control,A
Exp4_C51_M8,51,Control,A
Exp4_C51_UK36,51,Control,A
Exp4_C52_AE3,52,Control,C
Exp4_C52_GB13,52,Control,C
Exp4_C52_M36,52,Control,C
Exp4_C52_OF657,52,Control,C
Exp4_C53_F12,53,Control,A
Exp4_C53_GB25,53,Control,A
Exp4_C53_GB3,53,Control,A
Exp4_C53_M6,53,Control,A
Exp4_C53_M9,53,Control,A
Exp4_C54_AE5,54,Control,B
Exp4_C54_GB10,54,Control,B
Exp4_C54_GB18,54,Control,B
Exp4_C54_GB9,54,Control,B
Exp4_C54_M7,54,Control,B
Exp4_C55_15-349,55,Control,C
Exp4_C55_GB14,55,Control,C
Exp4_C55_GB16,55,Control,C
Exp4_C55_GB26,55,Control,C
Exp4_C55_S503,55,Control,C
Exp4_C56_GB15,56,Control,A
Exp4_C56_GB19,56,Control,A
Exp4_C56_GB2,56,Control,A
Exp4_C56_M13,56,Control,A
Exp4_C56_OF654,56,Control,A
Exp4_C57_GB17,57,Control,C
Exp4_C57_GB21,57,Control,C
Exp4_C57_GB4,57,Control,C
Exp4_C57_M11,57,Control,C
Exp4_C57_M17,57,Control,C
Exp4_C58_GB8,58,Control,C
Exp4_C58_M12,58,Control,C
Exp4_C58_M14,58,Control,C
Exp4_C58_M2,58,Control,C
Exp4_C58_M26,58,Control,C
Exp4_C59_M15,59,Control,B
Exp4_C59_M18,59,Control,B
Exp4_C59_M20,59,Control,B
Exp4_C59_M23,59,Control,B
Exp4_C59_M30,59,Control,B
Exp4_C60_M16,60,Control,A
Exp4_C60_M19,60,Control,A
Exp4_C60_M21,60,Control,A
Exp4_C60_M28,60,Control,A
Exp4_C60_M31,60,Control,A
Exp4_C61_M24,61,Control,C
Exp4_C61_M29,61,Control,C
Exp4_C61_M3,61,Control,C
Exp4_C61_M32,61,Control,C
Exp4_C61_M33,61,Control,C
Exp4_C62_GB22,62,Control,C
Exp4_C62_M34,62,Control,C
