Sample ID,WGSPutGenoLabel,Geno.std,Genotype.Replicate,Technical Replicate,Multi-Locus Genotype ID,Raw Reads,Aligned,Alignment Rate,Missing Loci,Symbiodinium,Breviolum,Cladocopium,Durusdinium
s054,1-OF-4,1OF4,1-OF-4,no,54,19635726,15215833,0.775,1365,0.143181905,0.029127542,0.184071469,0.643619084
s055,OF608,OF608,OF693,no,72,25979695,18551359,0.714,906,0.061245466,0.012561959,0.072538381,0.853654193
s056,OF354,OF354,OF354,no,56,24515031,16290786,0.665,956,0.101570359,0.020748704,0.125985794,0.751695143
s057,OF76,OF76,OF76_wgs_1,yes,57,24553096,15105837,0.615,1817,0.113048559,0.020638487,0.135420773,0.730892181
s058,OF3,OF3,OF3,no,58,25653466,4302407,0.168,5650,0.098576137,0.01269757,0.135600464,0.75312583
s059,F7,F7,F7,no,59,25889437,5480508,0.212,5182,0.065150318,0.007481685,0.078798979,0.848569018
s060,S335,S335,S335,no,60,24545365,8856509,0.361,3324,0.098649943,0.019870511,0.122248352,0.759231194
s061,OF483,OF483,OF483,no,61,26737680,17525835,0.655,897,0.046317747,0.007528632,0.051288805,0.894864816
s062,GB3,GB3,GB3,no,62,26583430,21692712,0.816,757,0.090038212,0.015634899,0.095239842,0.799087047
s063,OF46,OF46,OF46,no,63,24697720,6701417,0.271,4436,0.077837603,0.009253148,0.053538862,0.859370386
s064,GB27,GB27,GB27,no,64,26633402,8652428,0.325,3298,0.057557752,0.010268099,0.044741705,0.887432445
s065,M35,M35,M35,no,154,26711084,21794551,0.816,508,0.122943188,0.015903477,0.114796694,0.746356641
s066,M14,M14,M14,no,66,25770536,18935065,0.735,797,0.050433876,0.005964828,0.051415169,0.892186127
s067,OF97,OF97,OF97,no,67,26569985,20667225,0.778,765,0.062724518,0.007039882,0.052534775,0.877700824
s068,M36,M36,M36,no,68,25762604,17587728,0.683,873,0.088364192,0.010529269,0.116897326,0.784209214
s069,M16,M16,M16,no,69,28821577,23813942,0.826,584,0.150103449,0.017364774,0.144102051,0.688429726
s070,M3,M3,M3,no,70,19188777,13754696,0.717,1940,0.135412521,0.026529823,0.179873657,0.658183999
s071,M17,M17,M17,no,71,19413289,13969505,0.72,1376,0.07182664,0.010185603,0.074286916,0.84370084
s072,M21,M21,M21,no,72,28038049,19404666,0.692,787,0.047747109,0.008064503,0.076251564,0.867936824
s073,M32,M32,M32,no,73,20673600,14444800,0.699,1268,0.066101233,0.013480917,0.078942981,0.84147487
s074,M26,M26,M26,no,74,24434674,13196358,0.54,2531,0.097277521,0.016204262,0.113474361,0.773043856
s075,M28,M28,M28,no,154,27362488,20801165,0.76,611,0.121232214,0.016699257,0.133784109,0.72828442
s076,OF101,OF101,OF101,no,76,26672251,20813581,0.78,756,0.138425907,0.022280255,0.162088707,0.677205131
