"","Sample.ID","PutGeno","Genotype.Replicate","Technical.Replicate","Multi.Locus.Genotype.ID","MLG.Notes","Raw.Reads","Aligned","Alignment.Rate","Missing.Loci","Remove","Symbiodinium","Breviolum","Cladocopium","Durusdinium","Putative.Genotype.ID","Genotype.name.x","Other.names.x","Seq.WGS","Known.Mote.geno","Sample.Source","RestorationSample.InExp","Restoration.name","Genotype.name.y","Other.names.y","OFAV.Old.Name","Mote.Known.Clones","Type","Source","Hybrid","Collection.Latitude","Collection.Longitude","Year.of.initial.collection","Partner.Source","Mote.Genotyped","Mote.2brad","Mote.Putative.2bRAD.Clones","Mote.Microsatellites","Mote.Putative.MSAT.Clones","Mote.Disease.Tested","Mote.Temp.Tested","Mote.OA.Tested"
"19","s019","S31","S31","no","WGS-19","",24386411,8314031,0.341,3333,"",0.030682511,0.006562578,0.062866275,0.899888636,"S31","S31","OF748,15-31","YES","Y","Experiment",NA,"OF748","S31","OF748,15-31","S31","","SR","","N",NA,NA,"2015","","","","","","",NA,NA,NA
"20","s020","15-71","15-71","no","WGS-20","",25065122,7353428,0.293,3877,"",0.149628685,0.035203894,0.399522941,0.41564448,"1571","15-71","OF523","YES","Y","Experiment",NA,"OF523","OF523","15-71","15-71","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"21","s021","OF232","OF232","no","WGS-21","",26907837,16798946,0.624,879,"",0.062974014,0.011219916,0.110679688,0.815126382,"OF232","OF232","S771,15-232","YES","Y","Experiment",NA,"OF232","OF232","S771,15-232","S771","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","S395","Imhof, 2020","S395, S641",NA,NA,NA
"22","s022","OF434","OF434","no","WGS-22","",25174675,15974479,0.635,1028,"",0.078021985,0.012957972,0.069291952,0.839728091,"OF434","OF434","S423, S437, 15-434","YES","Y","Experiment",NA,"OF434","OF434","S423, S437, 15-434","S437","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","S-437 (?)","Imhof, 2020","",NA,NA,NA
"23","s023","OF22","OF22","no","WGS-23","",25116195,7892961,0.314,3467,"",0.073612626,0.012391119,0.197870468,0.716125787,"OF22","OF22","F22","YES","Y","Experiment",NA,"OF22","OF22","F22","F22","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","","","Imhof, 2021","",NA,NA,NA
"24","s024","15-350","15-350","no","WGS-24","",26028876,19006396,0.73,724,"",0.061268651,0.010072908,0.06366151,0.864996932,"15350","15-350","OF350,S350","YES","Y","Experiment",NA,"OF350","15-350","OF350,S350","15-350","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"25","s025","OF701","OF701","no","WGS-25","",26749521,16594225,0.62,962,"",0.12054271,0.069656287,0.224270648,0.585530356,"OF701","OF701","15-31,S31","YES","Y","Experiment",NA,"OF701","OF701","15-31,S31","15-31","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","R",NA,NA,NA
"26","s026","OF684","OF684","no","WGS-26","",24362732,9492579,0.39,3875,"",0.16059293,0.067186719,0.348991067,0.423229284,"OF684","OF684","15-181,S181","YES","Y","Experiment",NA,"OF684","OF684","15-181,S181","15-181","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","15-386 A",NA,NA,NA
"27","s027","OF5","OF5","no","WGS-27","",25120802,18918386,0.753,971,"",0.016169976,0.002562259,0.01236356,0.968904205,"OF5","OF5","F5","YES","Y","Experiment",NA,"OF5","OF5","F5","F5","OF611, OF660","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","S611","Imhof, 2018","F7, S611",2018,2018,2018
"28","s028","OF793","OF793","no","WGS-28","",19399521,10719912,0.553,3154,"",0.12450524,0.026583745,0.167475031,0.681435984,"OF793","OF793","","YES","Y","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","s029","15-358","15-358","no","WGS-29","",22797232,6359796,0.279,4791,"",0.196378223,0.048482596,0.224137489,0.531001692,"15358","15-358","OF642","YES","Y","Experiment",NA,"OF642","15-358","OF642","S385","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","","",NA,NA,NA
