"","Sample.ID","PutGeno","Genotype.Replicate","Technical.Replicate","Multi.Locus.Genotype.ID","MLG.Notes","Raw.Reads","Aligned","Alignment.Rate","Missing.Loci","Remove","Symbiodinium","Breviolum","Cladocopium","Durusdinium","Putative.Genotype.ID","Genotype.name.x","Other.names.x","Seq.WGS","Known.Mote.geno","Sample.Source","RestorationSample.InExp","Restoration.name","Genotype.name.y","Other.names.y","OFAV.Old.Name","Mote.Known.Clones","Type","Source","Hybrid","Collection.Latitude","Collection.Longitude","Year.of.initial.collection","Partner.Source","Mote.Genotyped","Mote.2brad","Mote.Putative.2bRAD.Clones","Mote.Microsatellites","Mote.Putative.MSAT.Clones","Mote.Disease.Tested","Mote.Temp.Tested","Mote.OA.Tested"
"80","s079","GB31","GB31","no","WGS-79","",27696744,17733655,0.64,865,"",0.067956754,0.01010984,0.077712922,0.844220484,"GB31","GB31","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","s080","F-1-A","F-1-A","no","WGS-80","",25059580,19749602,0.788,790,"",0.048868315,0.006614234,0.041297279,0.903220171,"F1A","F-1-A","OF 2","YES","Y","Experiment",NA,"OF2","F-1-A","OF 2","F1A","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","","Imhof, 2018","",2018,2018,2018
"82","s081","OF23","OF23","no","WGS-154","",25868102,20869479,0.807,592,"x",0.041220518,0.006216001,0.037491227,0.915072254,"OF23","OF23","F23","YES","Y","Experiment",NA,"OF23","OF23","F23","F23","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",NA,NA,NA
"83","s082","GB12","GB12","no","WGS-154","",27595990,20785444,0.753,580,"x",0.111824401,0.017624668,0.134530932,0.73602,"GB12","GB12","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","s083","AE10","AE10","no","WGS-83","",19691251,9116994,0.463,35110,"",0.064015957,0.02278655,0.039649199,0.873548293,"AE10","AE10","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","s084","OF56","OF657","no","WGS-84","",26256106,10148188,0.387,2398,"",0.056667217,0.010320735,0.110583705,0.822428344,"OF56","OF56","","YES","Y","Experiment",NA,"OF56","OF56","","","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",NA,NA,NA
"86","s085","15-349","15-349","no","WGS-85","",26024690,10563977,0.406,2241,"",0.08405783,0.014770679,0.124263032,0.776908459,"15349","15-349","OF349, S349","YES","Y","Experiment",NA,"OF349","15-349","OF349, S349","15-349","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"87","s086","OF635","OF635","no","WGS-86","",28915080,18470240,0.639,839,"",0.076457289,0.013796562,0.150850226,0.758895923,"OF635","OF635","S635,15-635","YES","Y","Experiment",NA,"OF635","OF635","S635,15-635","S635,F635","OF420","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","S420","Imhof, 2020","S420",NA,2020,2020
"88","s087","GB13","GB13","no","WGS-137","",27072411,21531889,0.795,729,"",0.057828245,0.008835933,0.063849835,0.869485987,"GB13","GB13","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","s088","F12","F12","no","WGS-12","",26739426,21190829,0.792,756,"",0.057071694,0.008040638,0.05460068,0.880286988,"F12","F12","OF12","YES","Y","Experiment",NA,"OF12","F12","OF12","F12","OF27","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","F27","Imhof, 2018","F27",2018,2018,2018
"90","s089","OF554","OF654","no","WGS-89","",19159488,10886349,0.568,2393,"",0.074284534,0.010402089,0.194061182,0.721252195,"OF554","OF554","S554,15-554","YES","Y","Experiment",NA,"OF554","OF554","S554,15-554","S554,15-554","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"91","s090","GB21","GB21","no","WGS-90","",27282941,12685388,0.465,1729,"",0.054191564,0.007955935,0.049689385,0.888163116,"GB21","GB21","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","s091","GB14","GB14_wgs_1","yes","WGS-91","",26439780,7099480,0.269,4041,"x",0.125443063,0.014452598,0.079171035,0.780933303,"GB14","GB14","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","s092","OF457","OF457","no","WGS-92","",19458483,10014233,0.515,2587,"",0.057044609,0.010083272,0.156799164,0.776072956,"OF457","OF457","15-457,S457","YES","Y","Experiment",NA,"OF457","OF457","OF457","15-457","","SR","H","Y",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","Imhof, 2020","",NA,NA,NA
"94","s092","OF457","OF457","no","WGS-92","",19458483,10014233,0.515,2587,"",0.057044609,0.010083272,0.156799164,0.776072956,"OF457","OF457","OF457","YES","Y","Ex situ","Y","OF457","OF457","OF457","15-457","","SR","H","Y",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","Imhof, 2020","",NA,NA,NA
"95","s093","GB26","GB26","no","WGS-93","",20796685,10838362,0.521,2374,"",0.078215819,0.013838861,0.106128534,0.801816787,"GB26","GB26","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","s094","OF200","OF200","no","WGS-94","",28902594,19196980,0.664,789,"",0.094473692,0.01275684,0.11326839,0.779501078,"OF200","OF200","M115","YES","Y","Experiment",NA,"OF200","OF200","M115","M115","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","",NA,2020,2020
"97","s095","OF509","OF509","no","WGS-95","",25823278,11449484,0.443,2299,"",0.07942582,0.01733319,0.20775035,0.69549064,"S509","OF509","OF509, S509","YES","Y","Ex situ","Y","OF509","OF509","OF509, S509","S509,15-509","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","",NA,NA,NA
"98","s096","OF453","OF453","no","WGS-96","",26631561,20819534,0.782,756,"",0.117935654,0.032453978,0.093468038,0.756142331,"OF453","OF453","15-45, S45","YES","Y","Experiment",NA,"OF453","OF453","15-45, S45","15-45","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"99","s097","15-155","15-155","no","WGS-97","",25318967,11690937,0.462,1942,"",0.081343917,0.011301938,0.123063464,0.784290681,"15155","15-155","OF304, S155","YES","Y","Experiment",NA,"OF304","15-155","OF304, S155","15-155","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"100","s098","OF677","OF677","no","WGS-98","",20693463,15679687,0.758,1186,"",0.098776154,0.015757267,0.105798794,0.779667785,"OF677","OF677","15-26,S26","YES","Y","Experiment",NA,"OF677","OF677","15-26,S26","15-26","","SR","H","N",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","R",NA,NA,NA
"101","s099","OF373","OF373","no","WGS-99","",25819395,17209955,0.667,20121,"",0.19787519,0.032270443,0.247476348,0.522378019,"OF373wgs","OF373","","YES","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","s100","15-111","15-111","no","WGS-100","",26366235,20565702,0.78,792,"",0.060086443,0.009990292,0.06544836,0.864474904,"15111","15-111","OF259","YES","Y","Experiment",NA,"OF259","15-111","OF259","15-111","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"103","s101","OF602","OF689","no","WGS-101","",28917150,23422132,0.81,572,"",0.068425846,0.017315435,0.079638063,0.834620656,"OF602","OF602","15-602, S602","YES","Y","Experiment",NA,"OF602","OF602","15-602, S602","15-602","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"104","s102","OF679","OF679","no","WGS-102","",24529500,19812354,0.808,692,"",0.035367318,0.005706164,0.035180668,0.92374585,"OF679","OF679","17-76,S76","YES","Y","Experiment",NA,"OF679","OF679","OF679","15-76","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","R",NA,NA,NA
"105","s102","OF679","OF679","no","WGS-102","",24529500,19812354,0.808,692,"",0.035367318,0.005706164,0.035180668,0.92374585,"OF679","OF679","OF679","YES","Y","Ex situ","Y","OF679","OF679","OF679","15-76","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","R",NA,NA,NA
"106","s103","OF696","OF696","no","WGS-103","",25632545,20646747,0.805,748,"",0.045782882,0.007046622,0.041924609,0.905245887,"OF696","OF696","15-425, S425","YES","Y","Experiment",NA,"OF696","OF696","OF696","15-425","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","",NA,NA,NA
"107","s103","OF696","OF696","no","WGS-103","",25632545,20646747,0.805,748,"",0.045782882,0.007046622,0.041924609,0.905245887,"OF696","OF696","OF696","YES","Y","Ex situ","Y","OF696","OF696","OF696","15-425","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","",NA,NA,NA
"108","s104","OF628","OF628","no","WGS-104","",25204447,18814825,0.746,733,"",0.066995917,0.011036481,0.08935862,0.832608982,"OF628","OF628","S437,15-437","YES","Y","Experiment",NA,"OF628","OF628","S437,15-437","S437,15-437","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"109","s105","GB28","GB28","no","WGS-105","",19727788,6161000,0.312,4546,"",0.173647278,0.023015986,0.165415283,0.637921454,"GB28","GB28","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","s106","GB25","GB25","no","WGS-106","",28068398,17524695,0.624,819,"",0.003467499,0.001148047,0.003324163,0.992060291,"GB25","GB25","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","s107","GB23","GB23","no","WGS-107","",26637253,17007330,0.638,1001,"",0.004237414,0.001219287,0.003717416,0.990825882,"GB23","GB23","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","s108","GB15","GB15","no","WGS-108","",24339542,20105567,0.826,824,"",0.034726205,0.004581245,0.026859566,0.933832984,"GB15","GB15","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","s109","M27","M27","no","WGS-109","",24392690,18371865,0.753,715,"",0.106953515,0.015456406,0.119574378,0.758015701,"M27","M27","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","s110","M18","M18","no","WGS-110","",25816830,18432196,0.714,825,"",0.004355206,0.001229004,0.003495704,0.990920086,"M18","M18","OF646","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","s111","M29","M29","no","WGS-111","",25356359,17726200,0.699,815,"",0.00516139,0.001356941,0.004799239,0.98868243,"M29","M29","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","s112","S503","S503","no","WGS-112","",24828284,19527176,0.786,656,"",0.057973349,0.007846351,0.141442085,0.792738215,"S503","S503","OF503","YES","Y","Experiment",NA,"OF503","S503","OF503","S503","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","",NA,NA,NA
"117","s113","S373","S373","no","WGS-113","",25668465,18700996,0.729,868,"",0.006783937,0.001610236,0.006416829,0.985188998,"S373","S373","OF373","YES","Y","Experiment",NA,"OF373","S373","OF373","S373","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","",NA,NA,NA
"118","s114","S575","S575","no","WGS-114","",20640900,16459032,0.797,939,"",0.044034812,0.006086292,0.050594683,0.899284214,"S575","S575","OF575","YES","Y","Experiment",NA,"OF575","S575","OF575","S575","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","",NA,2020,2020
"119","s115","AE3","AE3","no","WGS-115","",19443213,1952512,0.1,3927,"y",0.035770503,0.013128954,0.116707052,0.834393491,"AE3","AE3","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","s116","M13","M13","no","WGS-116","",27154103,17465277,0.643,912,"",0.006240271,0.00139228,0.006703614,0.985663835,"M13","M13","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","s117","M20","M20","no","WGS-117","",25832058,19557914,0.757,705,"",0.005606992,0.001286746,0.004256778,0.988849485,"M20","M20","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","s118","OF96","OF96","no","WGS-118","",20452743,16643630,0.814,1187,"",0.012208029,0.626590681,0.010038494,0.351162796,"OF96","OF96","","YES","Y","Experiment",NA,"OF96","OF96","","NONE","","COO","Birthday","Y",24.57888,-81.49728,"12.14.2020","Mote","","","","","",NA,NA,NA
"123","s119","S439","S439","no","WGS-119","",28483641,16921740,0.594,805,"",0.003666582,0.000990102,0.003568641,0.991774675,"S439","S439","OF439","YES","Y","Experiment",NA,"OF439","S439","OF439","S439","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"124","s120","UK25","UK25","no","WGS-120","",24286852,17676975,0.728,852,"",0.063302006,0.009798872,0.06971432,0.857184803,"UK25","UK25","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","s121","OF11","OF11","no","WGS-121","",20445574,14490859,0.709,1286,"",0.006137699,0.001193899,0.005644268,0.987024134,"OF11","OF11","X11","YES","Y","Experiment",NA,"OF11","OF11","X11","X11","OF32","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","F1, F32","Imhof, 2018","",2018,2018,2018
"126","s122","OF662","OF662","no","WGS-122","",19402705,14440472,0.744,1328,"",0.008942635,0.001441874,0.010597018,0.979018474,"OF662","OF662","S648, 15-648","YES","Y","Experiment",NA,"OF662","OF662","S59","S648","","SR","H","N",25.139367,-80.294017,"2015","Margaret Miller","","","","","",NA,NA,NA
"127","s123","M4","M4","no","WGS-123","",26526136,17458858,0.658,1019,"",0.00730284,0.00123098,0.00746609,0.984000091,"M4","M4","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","s124","1-OF-2","1-OF-2","no","WGS-124","",25906864,19076880,0.736,916,"",0.006158701,0.001108297,0.005212051,0.987520951,"1OF2","1-OF-2","OF2","YES","Y","Experiment",NA,"OF2","F-1-A","OF 2","F1A","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","","Imhof, 2018","",2018,2018,2018
"129","s125","OF443","OF443","no","WGS-125","",26405304,17930691,0.679,852,"",0.006990932,0.00127662,0.022033906,0.969698541,"OF443","OF443","","YES","Y","Experiment",NA,"OF443","OF443","OF443","S389","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"130","s125","OF443","OF443","no","WGS-125","",26405304,17930691,0.679,852,"",0.006990932,0.00127662,0.022033906,0.969698541,"OF443","OF443","OF443","YES","Y","Ex situ","Y","OF443","OF443","OF443","S389","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"131","s126","OF98","OF98","no","WGS-126","",25585938,17390816,0.68,937,"",0.003888192,0.001238644,0.009582439,0.985290725,"OF98","OF98","","YES","Y","Experiment",NA,"OF98","OF98","","NONE","","COO","Wonderland2","Y",24.55994,-81.50162,"12.15.2020","Mote","","","","","",NA,NA,NA
"132","s127","GB4","GB4","no","WGS-127","",28197318,19168475,0.68,803,"",0.003859732,0.000947336,0.003355609,0.991837324,"GB4","GB4","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","s128","M22","M22","no","WGS-128","",25078494,12631037,0.504,13311,"",0.066220913,0.02410516,0.095606251,0.814067677,"M22","M22","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","s129","OF682","OF682","no","WGS-129","",20703876,9417021,0.455,12644,"",0.078526214,0.036992547,0.127774991,0.756706248,"OF682","OF682","OF682","YES","Y","Ex situ","N","OF682","OF682","OF682","15-1","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","15-7_10.2020",NA,NA,NA
"135","s130","GB20","GB20","no","WGS-130","",29462961,19907350,0.676,706,"x",0.004556359,0.001084156,0.003720732,0.990638753,"GB20","GB20","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","s131","OF683","OF683","no","WGS-131","",26133925,18482210,0.707,824,"",0.006235015,0.001408412,0.005599654,0.98675692,"OF683","OF683","15-442,S442","YES","Y","Experiment",NA,"OF683","OF683","15-442,S442","15-165","OF673","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","15-303",NA,NA,NA
"137","s132","OF201","OF201","no","WGS-132","",26351300,16540511,0.628,886,"",0.003946338,0.001005369,0.003373273,0.99167502,"OF201","OF201","S384,15-201","YES","Y","Experiment",NA,"OF201","OF201","OF201","S384","OF173, OF467","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","S173, S467",NA,2020,2020
"138","s133","M2","M2","no","WGS-133","",25292126,18692858,0.739,916,"",0.006655274,0.001357782,0.005939628,0.986047316,"M2","M2","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","s134","OF99","OF99","no","WGS-134","",28092760,21454258,0.764,743,"",0.007544274,0.064654031,0.004824564,0.92297713,"OF99","OF99","","YES","Y","Experiment",NA,"OF99","OF99","","NONE","","COO","Jaap","Y",24.58721,-81.5783,"12.15.2020","Mote","","","","","",NA,NA,NA
"140","s135","GB10","GB10","no","WGS-135","",26877988,18653228,0.694,927,"x",0.005985767,0.001402592,0.005764494,0.986847147,"GB10","GB10","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","s136","GB5","GB5","no","WGS-136","",20672220,14864571,0.719,1193,"",0.052991773,0.006612613,0.066427294,0.873968321,"GB5","GB5","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","s137","OF57","OF679","no","WGS-137","",27469444,19595575,0.713,845,"x",0.006060904,0.001255664,0.005600768,0.987082664,"OF57","OF57","","YES","Y","Experiment",NA,"OF57","OF57","","","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",NA,NA,NA
"143","s138","OF512","OF512","no","WGS-138","",20487376,10026062,0.489,2590,"",0.113962431,0.014677711,0.09731391,0.774045949,"OF512","OF512","","YES","Y","Experiment",NA,"OF512","OF512","OF512","S512","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"144","s138","OF512","OF512","no","WGS-138","",20487376,10026062,0.489,2590,"",0.113962431,0.014677711,0.09731391,0.774045949,"OF512","OF512","OF512","YES","Y","Ex situ","Y","OF512","OF512","OF512","S512","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"145","s139","M31","M31","no","WGS-139","",24811872,7059618,0.285,3965,"",0.096881641,0.01126364,0.054662547,0.837192173,"M31","M31","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","s140","OF21","OF21","no","WGS-154","",28071666,21319553,0.759,572,"x",0.019698278,0.003484778,0.018981977,0.957834967,"OF21","OF21","F21","YES","Y","Experiment",NA,"OF21","OF21","F21","F21","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",NA,NA,NA
"147","s141","OF132","OF132","no","WGS-154","",26699385,19958566,0.748,568,"x",0.014628426,0.002416335,0.022028557,0.960926682,"OF132","OF132","F132","YES","Y","Experiment",NA,"OF132","OF132","F132","F132","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","","Imhof, 2018","",2018,2020,2020
"148","s142","OF393","OF393_wgs_1","yes","WGS-142","",27735707,16734432,0.603,1012,"",0.019662317,0.003825124,0.026789392,0.949723167,"OF393","OF393","S393, 15-393","YES","Y","Experiment",NA,"OF393","OF393","OF393","S393","OF670_4.2020; OF689","SR","H","Y",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","","","Imhof, 2020","R; S546_4.2020; 15-660",NA,NA,NA
"149","s143","OF759","OF759","no","WGS-143","",25584813,15771784,0.616,1112,"",0.032541264,0.006747338,0.038646968,0.922064431,"OF759","OF759","15-376,S376","YES","Y","Experiment",NA,"OF759","OF759","15-376,S376","15-376","","SR","","N",NA,NA,"2015","","","","","","",NA,NA,NA
"150","s144","OF674","OF674","no","WGS-144","",25164474,19620755,0.78,810,"",0.121320719,0.020415233,0.118782253,0.739481795,"OF674wgs","OF674","","YES","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","s145","OF693","OF693","no","WGS-145","",19491793,11592776,0.595,2708,"",0.104897701,0.031444359,0.160520198,0.703137742,"OF693","OF693","15-319,S319","YES","Y","Experiment",NA,"OF693","OF693","OF693","15-319","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","R",NA,NA,NA
"152","s145","OF693","OF693","no","WGS-145","",19491793,11592776,0.595,2708,"",0.104897701,0.031444359,0.160520198,0.703137742,"OF693","OF693","OF693","YES","Y","Ex situ","Y","OF693","OF693","OF693","15-319","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","R",NA,NA,NA
"153","s146","OF423","OF423","no","WGS-146","",24231096,5274781,0.218,5194,"",0.139846183,0.057707197,0.23168046,0.57076616,"OF423","OF423","15-423, S423","YES","Y","Experiment",NA,"OF423","OF423","15-423, S423","15-423","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"154","s147","OF559","OF656","no","WGS-147","",24888321,7981836,0.321,12889,"",0.176302005,0.047100397,0.120278636,0.656318962,"OF559","OF559","15-89, S89","YES","Y","Experiment",NA,"OF559","OF559","15-89, S89","15-89","OF671","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","","","Imhof, 2020","15-287",NA,NA,NA
"155","s148","15-10","15-10","no","WGS-148","",24301969,9718912,0.4,2853,"",0.111177486,0.018955485,0.327674897,0.542192132,"1510","15-10","OF251","YES","Y","Experiment",NA,"OF251","15-10","OF251","15-10","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"156","s149","OF202","OF202","no","WGS-149","",19531786,14989483,0.767,1376,"",0.009844496,0.001594142,0.006563787,0.981997575,"OF202","OF202","S652, 15-652","YES","Y","Experiment",NA,"OF202","OF202","S652, 15-652","S652","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"157","s150","OF211","OF211","no","WGS-150","",24166400,17330459,0.717,2319,"",0.129973993,0.029061142,0.196826837,0.644138027,"OF211","OF211","15-211,S211","YES","Y","Experiment",NA,"OF211","OF211","15-211,S211","15-211","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"158","s151","OF58","OF682","no","WGS-151","",24804399,12805732,0.516,7699,"",0.05384978,0.017252805,0.064750437,0.864146979,"OF58","OF58","","YES","Y","Experiment",NA,"OF58","OF58","","","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",NA,NA,NA
"159","s152","OF61","OF700","no","WGS-152","",26107356,18596329,0.712,836,"",0.003520121,0.000800492,0.0023199,0.993359486,"OF61","OF61","F61","YES","Y","Experiment",NA,"OF61","OF61","F61","F61","","COO","KWN","Y",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","","Imhof, 2018","R",2018,2018,2018
"160","s153","OF654","OF654","no","WGS-153","",26096616,16427328,0.629,1343,"",0.11196035,0.020200755,0.143632795,0.724206101,"OF654","OF654","BP2","YES","Y","Experiment",NA,"OF654","OF654","OF654","BP2","","","","N",NA,NA,"","","","","","","",NA,NA,NA
"161","s153","OF654","OF654","no","WGS-153","",26096616,16427328,0.629,1343,"",0.11196035,0.020200755,0.143632795,0.724206101,"OF654","OF654","OF654","YES","Y","Ex situ","Y","OF654","OF654","OF654","BP2","","","","N",NA,NA,"","","","","","","",NA,NA,NA
"162","s154","OF657","OF657","no","WGS-154","",25706349,19424576,0.756,730,"x",0.006609451,0.001297631,0.005254535,0.986838382,"OF657","OF657","BP5","YES","Y","Experiment",NA,"OF657","OF657","OF657","BP5","","","","N",NA,NA,"","","","","","","",NA,NA,NA
"163","s154","OF657","OF657","no","WGS-154","",25706349,19424576,0.756,730,"x",0.006609451,0.001297631,0.005254535,0.986838382,"OF657","OF657","OF657","YES","Y","Ex situ","Y","OF657","OF657","OF657","BP5","","","","N",NA,NA,"","","","","","","",NA,NA,NA
"164","s155","OF8","OF8","no","WGS-155","",26672094,15993279,0.6,1047,"",0.003707256,0.000902114,0.00298099,0.992409639,"OF8","OF8","F8","YES","Y","Experiment",NA,"OF8","OF8","F8","F8","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","","Imhof, 2018","",2018,2018,2018
"165","s156","OF733","OF733","no","WGS-156","",27499805,20871891,0.759,718,"",0.006706591,0.001665617,0.005857691,0.985770101,"OF733","OF733","15-264,S264","YES","Y","Experiment",NA,"OF733","OF733","15-264,S264","15-264","","SR","","N",NA,NA,"2015","","","","","","",NA,NA,NA
