Restoration.name,Putative.Genotype.ID,Genotype.name,Other.names,OFAV.Old.Name,Mote.Known.Clones,Type,Source,Hybrid,Collection.Latitude,Collection.Longitude,Year.of.initial.collection,Partner.Source,Mote.Genotyped,Mote.2brad,Mote.Putative.2bRAD.Clones,Mote.Microsatellites,Mote.Putative.MSAT.Clones,Mote.Disease.Tested,Mote.Temp.Tested,Mote.OA.Tested
OF393,OF393,OF393,OF393,S393,OF670_4.2020; OF689,SR,H,Y,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,,,"Imhof, 2020",R; S546_4.2020; 15-660,NA,NA,NA
OF416,OF416,OF416,"15-416,S416","15-416,F416",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,,,"Imhof, 2020",,NA,NA,NA
OF419,OF419,OF419,F419,F419,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF420,OF420,OF420,OF420,"S420,15-420",OF635,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",S635,"Imhof, 2020",S635,NA,NA,NA
OF423,OF423,OF423,"15-423, S423",15-423,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF429,OF429,OF429,OF429,S429,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,NA,NA
OF431,15431,OF431,15-431,15-431,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF433,OF433,OF433,15-20,15-20,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF434,OF434,OF434,"S423, S437, 15-434",S437,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",S-437 (?),"Imhof, 2020",,NA,NA,NA
OF439,S439,S439,OF439,S439,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF441,OF441,OF441,OF441,15-30,,SR,H,Y,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
OF443,OF443,OF443,OF443,S389,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF445,OF445,OF445,OF445,"S445,15-445",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF448,OF448,OF448,OF448,"S448,15-448",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF453,OF453,OF453,"15-45, S45",15-45,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF457,OF457,OF457,OF457,15-457,,SR,H,Y,25.139367,-80.294017,2015 batch,Margaret Miller,,,,"Imhof, 2020",,NA,NA,NA
OF46,OF46,OF46,F46,F46,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,,,"Imhof, 2021",R,NA,NA,NA
OF464,OF464,OF464,"S464,15-464",S464,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF471,OF471,OF471,OF471,"S49,15-49",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,NA,NA
OF473,OF473,OF473,OF473,15-51,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF483,OF483,OF483,OF483,S483,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,2020,2020
OF483,S483,S509,OF483,S483,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,2020,2020
OF5,OF5,OF5,F5,F5,"OF611, OF660",COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018",S611,"Imhof, 2018","F7, S611",2018,2018,2018
OF503,S503,S503,OF503,S503,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,NA,NA
OF509,OF509,OF509,"OF509, S509","S509,15-509",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,NA,NA
OF509,S509,S509,"OF509, S509","S509,15-509",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,NA,NA
OF512,OF512,OF512,OF512,S512,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF523,1571,OF523,15-71,15-71,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF549,OF549,OF549,OF549,15-84,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF554,OF554,OF554,"S554,15-554","S554,15-554",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF559,OF559,OF559,"15-89, S89",15-89,OF671,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,,,"Imhof, 2020",15-287,NA,NA,NA
OF56,OF56,OF56,,,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,,,,,,NA,NA,NA
OF560,OF560,OF560,OF560,15-90,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF564,S564,S564,"OF564,15-564","S564,15-564",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,NA,NA
OF566,OF566,OF566,"15-566,S566",15-566,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF569,OF569,OF569,"15-11,S11",15-11,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF57,OF57,OF57,,,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,,,,,,NA,NA,NA
OF575,S575,S575,OF575,S575,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,2020,2020
OF58,OF58,OF58,,,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,,,,,,NA,NA,NA
OF581,OF581,OF581,OF581,S581,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF590,OF590,OF590,OF590,15-201,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF591,OF591,OF591,OF591,15-591,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF592,OF592,OF592,"15-592,S592",15-592,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF602,OF602,OF602,"15-602, S602",15-602,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF608,OF608,OF608,"S608,15-608",S608,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF61,OF61,OF61,F61,F61,,COO,KWN,Y,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018",,"Imhof, 2018",R,2018,2018,2018
OF611,OF611,OF611,OF611,"S611,F611",OF5,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",F5,"Imhof, 2020","F5, F7",NA,NA,NA
OF622,S59,S59,"OF622, 15-59","S59,15-59",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,NA,NA
OF622,OF622,OF622,OF622,"S59,15-59",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,NA,NA
OF626,OF626,OF626,"S60,15-60","S60,15-60",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,"Imhof, 2020",,NA,NA,NA
OF628,OF628,OF628,"S437,15-437","S437,15-437",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF629,OF629,OF629,OF629,"S306, 15-306",,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,,,,,,NA,NA,NA
OF630,S630,S630,"OF630, 15-630",S630,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,,,"Imhof, 2021",,NA,NA,NA
OF635,OF635,OF635,"S635,15-635","S635,F635",OF420,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",S420,"Imhof, 2020",S420,NA,2020,2020
OF642,15358,15-358,OF642,S385,,SR,H,N,25.139367,-80.294017,2015 batch,Margaret Miller,Yes,"Kenkel, 2020",,,,NA,NA,NA
OF649,OF649,OF649,M459,M459,,SR,,N,,NA,,,,,,,,NA,NA,NA
OF653,OF653,OF653,OF653,BP1,,UNK,UNK,N,,NA,,,,,,,,NA,NA,NA
